Tile Rack #1: Playing GLEG earns 6 points, the max possible.
Tile Rack #469: Playing NIDIFY earns 13 points, the max possible.

Tile Rack #470: Playing QATS earns 13 points, the max possible.

Tile Rack #471: Playing PIXY earns 16 points, the max possible.

Tile Rack #472: Playing TUX earns 10 points, the max possible.

Tile Rack #473: Playing DUCK earns 11 points, the max possible.

Tile Rack #474: Playing PRANK earns 11 points, the max possible.

Tile Rack #475: Playing PHYSED earns 15 points, the max possible.

Tile Rack #476: Playing JIBB earns 15 points, the max possible.

Tile Rack #477: Playing CHEF earns 12 points, the max possible.

Tile Rack #478: Playing DEFY earns 11 points, the max possible.

Tile Rack #479: Playing MIXT earns 13 points, the max possible.

Tile Rack #480: Playing CWM earns 10 points, the max possible.

Tile Rack #481: Playing FOEHN earns 11 points, the max possible.

Tile Rack #482: Playing CHIRPS earns 13 points, the max possible.

Tile Rack #483: Playing VERBS earns 10 points, the max possible.

Tile Rack #484: Playing QI earns 11 points, the max possible.

Tile Rack #485: Playing WRY earns 9 points, the max possible.

Tile Rack #486: Playing WAX earns 13 points, the max possible.

Tile Rack #487: Playing FAWN earns 10 points, the max possible.

Tile Rack #488: Playing COZ earns 14 points, the max possible.

Tile Rack #489: Playing JOBS earns 13 points, the max possible.

Tile Rack #490: Playing SKIMP earns 13 points, the max possible.

Tile Rack #491: Playing MUCK earns 12 points, the max possible.

Tile Rack #492: Playing JOB earns 12 points, the max possible.

Tile Rack #493: Playing FOX earns 13 points, the max possible.

Tile Rack #494: Playing SPY earns 8 points, the max possible.

Tile Rack #495: Playing PHT earns 8 points, the max possible.

Tile Rack #496: Playing BY earns 7 points, the max possible.

Tile Rack #497: Playing TSK earns 7 points, the max possible.

Tile Rack #498: Playing BEGUMS earns 11 points, the max possible.

Tile Rack #499: Playing THY earns 9 points, the max possible.

Tile Rack #500: Playing HIKED earns 13 points, the max possible.

Tile Rack #501: Playing HUFF earns 13 points, the max possible.

Tile Rack #502: Playing JEW earns 13 points, the max possible.

Tile Rack #503: Playing MAX earns 12 points, the max possible.

Tile Rack #504: Playing ADZ earns 13 points, the max possible.

Tile Rack #505: Playing XU earns 9 points, the max possible.

Tile Rack #506: Playing FIZ earns 15 points, the max possible.

Tile Rack #507: Playing ZYME earns 18 points, the max possible.

Tile Rack #508: Playing JUBE earns 13 points, the max possible.

Tile Rack #509: Playing SINFUL earns 9 points, the max possible.

Tile Rack #510: Playing JIVE earns 14 points, the max possible.

Tile Rack #511: Playing WHIZ earns 19 points, the max possible.

Tile Rack #512: Playing WAX earns 13 points, the max possible.

Tile Rack #513: Playing GAWKY earns 16 points, the max possible.

Tile Rack #514: Playing ZEK earns 16 points, the max possible.

Tile Rack #515: Playing QUAG earns 14 points, the max possible.

Tile Rack #516: Playing HYP earns 11 points, the max possible.

Tile Rack #517: Playing GAMP earns 9 points, the max possible.

Tile Rack #518: Playing ZIPS earns 15 points, the max possible.

Tile Rack #519: Playing FIXT earns 14 points, the max possible.

Tile Rack #520: Playing CWM earns 10 points, the max possible.

Tile Rack #521: Playing BIZ earns 14 points, the max possible.

Tile Rack #522: Playing JISM earns 13 points, the max possible.

Tile Rack #523: Playing HERNS earns 8 points, the max possible.

Tile Rack #524: Playing SALPAE earns 8 points, the max possible.

Tile Rack #525: Playing FADGES earns 11 points, the max possible.

Tile Rack #526: Playing FLUB earns 9 points, the max possible.

Tile Rack #527: Playing HEX earns 13 points, the max possible.

Tile Rack #528: Playing KRONA earns 9 points, the max possible.

Tile Rack #529: Playing XYLANS earns 16 points, the max possible.

Tile Rack #530: Playing FUTZ earns 16 points, the max possible.

Tile Rack #531: Playing YIP earns 8 points, the max possible.

Tile Rack #532: Playing WILD earns 8 points, the max possible.

Tile Rack #533: Playing CLODS earns 8 points, the max possible.

Tile Rack #534: Playing XU earns 9 points, the max possible.

Tile Rack #535: Playing FLEX earns 14 points, the max possible.

Tile Rack #536: Playing XU earns 9 points, the max possible.

Tile Rack #537: Playing AZO earns 12 points, the max possible.

Tile Rack #538: Playing HUED earns 8 points, the max possible.

Tile Rack #539: Playing BAHT earns 9 points, the max possible.

Tile Rack #540: Playing CWM earns 10 points, the max possible.

Tile Rack #541: Playing CALF earns 9 points, the max possible.

Tile Rack #542: Playing ADZ earns 13 points, the max possible.

Tile Rack #543: Playing SHH earns 9 points, the max possible.

Tile Rack #544: Playing COZEY earns 19 points, the max possible.

Tile Rack #545: Playing CWMS earns 11 points, the max possible.

Tile Rack #546: Playing CLUB earns 8 points, the max possible.

Tile Rack #547: Playing WOMB earns 11 points, the max possible.

Tile Rack #548: Playing ZAX earns 19 points, the max possible.

Tile Rack #549: Playing MYTH earns 12 points, the max possible.

Tile Rack #550: Playing BOTH earns 9 points, the max possible.

Tile Rack #551: Playing OXIM earns 13 points, the max possible.

Tile Rack #552: Playing CUTIE earns 7 points, the max possible.

Tile Rack #553: Playing FRY earns 9 points, the max possible.

Tile Rack #554: Playing LUX earns 10 points, the max possible.

Tile Rack #555: Playing BRAY earns 9 points, the max possible.

Tile Rack #556: Playing GEM earns 6 points, the max possible.

Tile Rack #557: Playing QATS earns 13 points, the max possible.

Tile Rack #558: Playing FANCY earns 13 points, the max possible.

Tile Rack #559: Playing WEB earns 8 points, the max possible.

Tile Rack #560: Playing CWM earns 10 points, the max possible.

Tile Rack #561: Playing ADZ earns 13 points, the max possible.

Tile Rack #562: Playing JAG earns 11 points, the max possible.

Tile Rack #563: Playing TIVY earns 10 points, the max possible.

Tile Rack #564: Playing HACK earns 13 points, the max possible.

Tile Rack #565: Playing BACH earns 11 points, the max possible.

Tile Rack #566: Playing HOWFS earns 14 points, the max possible.

Tile Rack #567: Playing KOPH earns 13 points, the max possible.

Tile Rack #568: Playing JEHU earns 14 points, the max possible.

Tile Rack #569: Playing FOX earns 13 points, the max possible.

Tile Rack #570: Playing BRUX earns 13 points, the max possible.

Tile Rack #571: Playing FOZY earns 19 points, the max possible.

Tile Rack #572: Playing ZAP earns 14 points, the max possible.

Tile Rack #573: Playing CWM earns 10 points, the max possible.

Tile Rack #574: Playing CONKS earns 11 points, the max possible.

Tile Rack #575: Playing JESSE earns 12 points, the max possible.

Tile Rack #576: Playing FOEHNS earns 12 points, the max possible.

Tile Rack #577: Playing PAWL earns 9 points, the max possible.

Tile Rack #578: Playing FIXES earns 15 points, the max possible.

Tile Rack #579: Playing COMPT earns 11 points, the max possible.

Tile Rack #580: Playing JIBE earns 13 points, the max possible.

Tile Rack #581: Playing EX earns 9 points, the max possible.

Tile Rack #582: Playing CUBES earns 9 points, the max possible.

Tile Rack #583: Playing BUSTY earns 10 points, the max possible.

Tile Rack #584: Playing KEX earns 14 points, the max possible.

Tile Rack #585: Playing KHADI earns 13 points, the max possible.

Tile Rack #586: Playing JAM earns 12 points, the max possible.

Tile Rack #587: Playing GULPS earns 8 points, the max possible.

Tile Rack #588: Playing CULCH earns 12 points, the max possible.

Tile Rack #589: Playing AMBERY earns 13 points, the max possible.

Tile Rack #590: Playing WHAP earns 12 points, the max possible.

Tile Rack #591: Playing QADI earns 14 points, the max possible.

Tile Rack #592: Playing PLY earns 8 points, the max possible.

Tile Rack #593: Playing PRAWN earns 10 points, the max possible.

Tile Rack #594: Playing FRY earns 9 points, the max possible.

Tile Rack #595: Playing SKY earns 10 points, the max possible.

Tile Rack #596: Playing CALYX earns 17 points, the max possible.

Tile Rack #597: Playing PHT earns 8 points, the max possible.

Tile Rack #598: Playing JAPER earns 14 points, the max possible.

Tile Rack #599: Playing WAUGH earns 12 points, the max possible.

Tile Rack #600: Playing FOCAL earns 10 points, the max possible.

Tile Rack #601: Playing ZERK earns 17 points, the max possible.

Tile Rack #602: Playing RITZ earns 13 points, the max possible.

Tile Rack #603: Playing HELP earns 9 points, the max possible.

Tile Rack #604: Playing FIZ earns 15 points, the max possible.

Tile Rack #605: Playing JAB earns 12 points, the max possible.

Tile Rack #606: Playing XI earns 9 points, the max possible.

Tile Rack #607: Playing JAW earns 13 points, the max possible.

Tile Rack #608: Playing FUGUE earns 9 points, the max possible.

Tile Rack #609: Playing JAM earns 12 points, the max possible.

Tile Rack #610: Playing CHUNK earns 14 points, the max possible.

Tile Rack #611: Playing VOX earns 13 points, the max possible.

Tile Rack #612: Playing ZIP earns 14 points, the max possible.

Tile Rack #613: Playing JAG earns 11 points, the max possible.

Tile Rack #614: Playing BYS earns 8 points, the max possible.

Tile Rack #615: Playing JOB earns 12 points, the max possible.

Tile Rack #616: Playing ZOWIE earns 17 points, the max possible.

Tile Rack #617: Playing WAX earns 13 points, the max possible.

Tile Rack #618: Playing GLITZ earns 15 points, the max possible.

Tile Rack #619: Playing AMBLED earns 11 points, the max possible.

Tile Rack #620: Playing AFFIX earns 18 points, the max possible.

Tile Rack #621: Playing PHIZ earns 18 points, the max possible.

Tile Rack #622: Playing FLY earns 9 points, the max possible.

Tile Rack #623: Playing LARUMS earns 8 points, the max possible.

Tile Rack #624: Playing ZEK earns 16 points, the max possible.

Tile Rack #625: Playing MM earns 6 points, the max possible.

Tile Rack #626: Playing BRR earns 5 points, the max possible.

Tile Rack #627: Playing QI earns 11 points, the max possible.

Tile Rack #628: Playing JUS earns 10 points, the max possible.

Tile Rack #629: Playing CODEX earns 15 points, the max possible.

Tile Rack #630: Playing DOGMA earns 9 points, the max possible.

Tile Rack #631: Playing SHIV earns 10 points, the max possible.

Tile Rack #632: Playing CAFF earns 12 points, the max possible.

Tile Rack #633: Playing BAWDS earns 11 points, the max possible.

Tile Rack #634: Playing JOG earns 11 points, the max possible.

Tile Rack #635: Playing JEW earns 13 points, the max possible.

Tile Rack #636: Playing VEXT earns 14 points, the max possible.

Tile Rack #637: Playing ZIN earns 12 points, the max possible.

Tile Rack #638: Playing HAVE earns 10 points, the max possible.

Tile Rack #639: Playing DITZY earns 18 points, the max possible.

Tile Rack #640: Playing ZYME earns 18 points, the max possible.

Tile Rack #641: Playing DINGY earns 10 points, the max possible.

Tile Rack #642: Playing DIRKS earns 10 points, the max possible.

Tile Rack #643: Playing CWMS earns 11 points, the max possible.

Tile Rack #644: Playing GUAIAC earns 9 points, the max possible.

Tile Rack #645: Playing PHT earns 8 points, the max possible.

Tile Rack #646: Playing BYS earns 8 points, the max possible.

Tile Rack #647: Playing JEW earns 13 points, the max possible.

Tile Rack #648: Playing JOW earns 13 points, the max possible.

Tile Rack #649: Playing FAKEY earns 15 points, the max possible.

Tile Rack #650: Playing VYING earns 12 points, the max possible.

Tile Rack #651: Playing DEGAME earns 10 points, the max possible.

Tile Rack #652: Playing BUBO earns 8 points, the max possible.

Tile Rack #653: Playing POX earns 12 points, the max possible.

Tile Rack #654: Playing TUBING earns 9 points, the max possible.

Tile Rack #655: Playing TEFFS earns 11 points, the max possible.

Tile Rack #656: Playing FEW earns 9 points, the max possible.

Tile Rack #657: Playing JIN earns 10 points, the max possible.

Tile Rack #658: Playing VIM earns 8 points, the max possible.

Tile Rack #659: Playing JIGS earns 12 points, the max possible.

Tile Rack #660: Playing ZORI earns 13 points, the max possible.

Tile Rack #661: Playing QUOLL earns 14 points, the max possible.

Tile Rack #662: Playing FRY earns 9 points, the max possible.

Tile Rack #663: Playing JIMMY earns 19 points, the max possible.

Tile Rack #664: Playing JOHN earns 14 points, the max possible.

Tile Rack #665: Playing MEZE earns 15 points, the max possible.

Tile Rack #666: Playing PLEBS earns 9 points, the max possible.

Tile Rack #667: Playing FAX earns 13 points, the max possible.

Tile Rack #668: Playing TIVY earns 10 points, the max possible.

Tile Rack #669: Playing ZEP earns 14 points, the max possible.

Tile Rack #670: Playing DOGY earns 9 points, the max possible.

Tile Rack #671: Playing HOAX earns 14 points, the max possible.

Tile Rack #672: Playing WHID earns 11 points, the max possible.

Tile Rack #673: Playing PYGMY earns 16 points, the max possible.

Tile Rack #674: Playing CWM earns 10 points, the max possible.

Tile Rack #675: Playing HERMS earns 10 points, the max possible.

Tile Rack #676: Playing SCREWY earns 14 points, the max possible.

Tile Rack #677: Playing QI earns 11 points, the max possible.

Tile Rack #678: Playing WARMTH earns 14 points, the max possible.

Tile Rack #679: Playing KOPJE earns 18 points, the max possible.

Tile Rack #680: Playing MM earns 6 points, the max possible.

Tile Rack #681: Playing PHT earns 8 points, the max possible.

Tile Rack #682: Playing ZAP earns 14 points, the max possible.

Tile Rack #683: Playing ENGS earns 5 points, the max possible.

Tile Rack #684: Playing EQUAL earns 14 points, the max possible.

Tile Rack #685: Playing BURS earns 6 points, the max possible.

Tile Rack #686: Playing DAWK earns 12 points, the max possible.

Tile Rack #687: Playing JOW earns 13 points, the max possible.

Tile Rack #688: Playing FAX earns 13 points, the max possible.

Tile Rack #689: Playing KEX earns 14 points, the max possible.

Tile Rack #690: Playing WOOF earns 10 points, the max possible.

Tile Rack #691: Playing CRIMP earns 11 points, the max possible.

Tile Rack #692: Playing PLEB earns 8 points, the max possible.

Tile Rack #693: Playing AZO earns 12 points, the max possible.

Tile Rack #694: Playing EXEC earns 13 points, the max possible.

Tile Rack #695: Playing BLYPE earns 12 points, the max possible.

Tile Rack #696: Playing JAILS earns 12 points, the max possible.

Tile Rack #697: Playing FISH earns 10 points, the max possible.

Tile Rack #698: Playing REVS earns 7 points, the max possible.

Tile Rack #699: Playing VAV earns 9 points, the max possible.

Tile Rack #700: Playing COFT earns 9 points, the max possible.

Tile Rack #701: Playing WAFF earns 13 points, the max possible.

Tile Rack #702: Playing FIVE earns 10 points, the max possible.

Tile Rack #703: Playing ATAXY earns 15 points, the max possible.

Tile Rack #704: Playing VOWED earns 12 points, the max possible.

Tile Rack #705: Playing WIMPY earns 15 points, the max possible.

Tile Rack #706: Playing COZ earns 14 points, the max possible.

Tile Rack #707: Playing VEX earns 13 points, the max possible.

Tile Rack #708: Playing DIVOTS earns 10 points, the max possible.

Tile Rack #709: Playing SUQS earns 13 points, the max possible.

Tile Rack #710: Playing JOES earns 11 points, the max possible.

Tile Rack #711: Playing SHH earns 9 points, the max possible.

Tile Rack #712: Playing SCRY earns 9 points, the max possible.

Tile Rack #713: Playing TAWIE earns 8 points, the max possible.

Tile Rack #714: Playing SIXTH earns 15 points, the max possible.

Tile Rack #715: Playing HM earns 7 points, the max possible.

Tile Rack #716: Playing HAWK earns 14 points, the max possible.

Tile Rack #717: Playing MAZE earns 15 points, the max possible.

Tile Rack #718: Playing BRUX earns 13 points, the max possible.

Tile Rack #719: Playing KNEW earns 11 points, the max possible.

Tile Rack #720: Playing QUA earns 12 points, the max possible.

Tile Rack #721: Playing ZEKS earns 17 points, the max possible.

Tile Rack #722: Playing WYTED earns 12 points, the max possible.

Tile Rack #723: Playing JOW earns 13 points, the max possible.

Tile Rack #724: Playing QAT earns 12 points, the max possible.

Tile Rack #725: Playing COX earns 12 points, the max possible.

Tile Rack #726: Playing FLUNK earns 12 points, the max possible.

Tile Rack #727: Playing DEFOAM earns 12 points, the max possible.

Tile Rack #728: Playing JUPE earns 13 points, the max possible.

Tile Rack #729: Playing HMM earns 10 points, the max possible.

Tile Rack #730: Playing COZ earns 14 points, the max possible.

Tile Rack #731: Playing PYX earns 15 points, the max possible.

Tile Rack #732: Playing DJIN earns 12 points, the max possible.

Tile Rack #733: Playing EXEC earns 13 points, the max possible.

Tile Rack #734: Playing WYNS earns 10 points, the max possible.

Tile Rack #735: Playing FLEW earns 10 points, the max possible.

Tile Rack #736: Playing FAWNS earns 11 points, the max possible.

Tile Rack #737: Playing XU earns 9 points, the max possible.

Tile Rack #738: Playing CHALAH earns 14 points, the max possible.

Tile Rack #739: Playing KHAFS earns 15 points, the max possible.

Tile Rack #740: Playing PAX earns 12 points, the max possible.

Tile Rack #741: Playing FOAM earns 9 points, the max possible.

Tile Rack #742: Playing INPUTS earns 8 points, the max possible.

Tile Rack #743: Playing SH earns 5 points, the max possible.

Tile Rack #744: Playing COFT earns 9 points, the max possible.

Tile Rack #745: Playing FUB earns 8 points, the max possible.

Tile Rack #746: Playing PHIZ earns 18 points, the max possible.

Tile Rack #747: Playing DAVY earns 11 points, the max possible.

Tile Rack #748: Playing FAXED earns 16 points, the max possible.

Tile Rack #749: Playing XU earns 9 points, the max possible.

Tile Rack #750: Playing SEX earns 10 points, the max possible.

Tile Rack #751: Playing JOKES earns 16 points, the max possible.

Tile Rack #752: Playing ZEK earns 16 points, the max possible.

Tile Rack #753: Playing MUCKLES earns 15 points, the max possible.

Tile Rack #754: Playing CUP earns 7 points, the max possible.

Tile Rack #755: Playing GAVOT earns 9 points, the max possible.

Tile Rack #756: Playing CHAFF earns 16 points, the max possible.

Tile Rack #757: Playing JUG earns 11 points, the max possible.

Tile Rack #758: Playing BOZO earns 15 points, the max possible.

Tile Rack #759: Playing TYPY earns 12 points, the max possible.

Tile Rack #760: Playing JO earns 9 points, the max possible.

Tile Rack #761: Playing HYP earns 11 points, the max possible.

Tile Rack #762: Playing ZEP earns 14 points, the max possible.

Tile Rack #763: Playing ADZ earns 13 points, the max possible.

Tile Rack #764: Playing PAVIS earns 10 points, the max possible.

Tile Rack #765: Playing GYRI earns 8 points, the max possible.

Tile Rack #766: Playing ZED earns 13 points, the max possible.

Tile Rack #767: Playing GYM earns 9 points, the max possible.

Tile Rack #768: Playing QI earns 11 points, the max possible.

Tile Rack #769: Playing OXIM earns 13 points, the max possible.

Tile Rack #770: Playing JUNK earns 15 points, the max possible.

Tile Rack #771: Playing GIRLIE earns 7 points, the max possible.

Tile Rack #772: Playing SHY earns 9 points, the max possible.

Tile Rack #773: Playing JOWL earns 14 points, the max possible.

Tile Rack #774: Playing QUALM earns 16 points, the max possible.

Tile Rack #775: Playing PIXY earns 16 points, the max possible.

Tile Rack #776: Playing DOUX earns 12 points, the max possible.

Tile Rack #777: Playing HM earns 7 points, the max possible.

Tile Rack #778: Playing VOW earns 9 points, the max possible.

Tile Rack #779: Playing FRY earns 9 points, the max possible.

Tile Rack #780: Playing WHID earns 11 points, the max possible.

Tile Rack #781: Playing BYRL earns 9 points, the max possible.

Tile Rack #782: Playing JEW earns 13 points, the max possible.

Tile Rack #783: Playing JEW earns 13 points, the max possible.

Tile Rack #784: Playing BOFF earns 12 points, the max possible.

Tile Rack #785: Playing QIS earns 12 points, the max possible.

Tile Rack #786: Playing BY earns 7 points, the max possible.

Tile Rack #787: Playing HAJ earns 13 points, the max possible.

Tile Rack #788: Playing WHUP earns 12 points, the max possible.

Tile Rack #789: Playing WHIM earns 12 points, the max possible.

Tile Rack #790: Playing JEW earns 13 points, the max possible.

Tile Rack #791: Playing BRR earns 5 points, the max possible.

Tile Rack #792: Playing SAVVY earns 14 points, the max possible.

Tile Rack #793: Playing JIB earns 12 points, the max possible.

Tile Rack #794: Playing QUASH earns 17 points, the max possible.

Tile Rack #795: Playing PIX earns 12 points, the max possible.

Tile Rack #796: Playing PLEX earns 13 points, the max possible.

Tile Rack #797: Playing QUA earns 12 points, the max possible.

Tile Rack #798: Playing JEUX earns 18 points, the max possible.

Tile Rack #799: Playing SOUSE earns 5 points, the max possible.

Tile Rack #800: Playing CHEEPS earns 13 points, the max possible.

Tile Rack #801: Playing MINNY earns 10 points, the max possible.

Tile Rack #802: Playing ACHY earns 12 points, the max possible.

Tile Rack #803: Playing LEX earns 10 points, the max possible.

Tile Rack #804: Playing FOX earns 13 points, the max possible.

Tile Rack #805: Playing QIS earns 12 points, the max possible.

Tile Rack #806: Playing HAJ earns 13 points, the max possible.

Tile Rack #807: Playing GOWK earns 12 points, the max possible.

Tile Rack #808: Playing VIS earns 6 points, the max possible.

Tile Rack #809: Playing ACME earns 8 points, the max possible.

Tile Rack #810: Playing CROP earns 8 points, the max possible.

Tile Rack #811: Playing JAMS earns 13 points, the max possible.

Tile Rack #812: Playing EXES earns 11 points, the max possible.

Tile Rack #813: Playing ADZ earns 13 points, the max possible.

Tile Rack #814: Playing MINCY earns 12 points, the max possible.

Tile Rack #815: Playing JIG earns 11 points, the max possible.

Tile Rack #816: Playing VAGARY earns 13 points, the max possible.

Tile Rack #817: Playing QUIRK earns 18 points, the max possible.

Tile Rack #818: Playing LUMS earns 6 points, the max possible.

Tile Rack #819: Playing BYS earns 8 points, the max possible.

Tile Rack #820: Playing GRUNT earns 6 points, the max possible.

Tile Rack #821: Playing SUQ earns 12 points, the max possible.

Tile Rack #822: Playing ZAGS earns 14 points, the max possible.

Tile Rack #823: Playing FAX earns 13 points, the max possible.

Tile Rack #824: Playing JOKER earns 16 points, the max possible.

Tile Rack #825: Playing FUME earns 9 points, the max possible.

Tile Rack #826: Playing ZIG earns 13 points, the max possible.

Tile Rack #827: Playing THIRD earns 9 points, the max possible.

Tile Rack #828: Playing BYS earns 8 points, the max possible.

Tile Rack #829: Playing JUNKY earns 19 points, the max possible.

Tile Rack #830: Playing ZAX earns 19 points, the max possible.

Tile Rack #831: Playing PIXY earns 16 points, the max possible.

Tile Rack #832: Playing QUAD earns 14 points, the max possible.

Tile Rack #833: Playing DORP earns 7 points, the max possible.

Tile Rack #834: Playing WHEY earns 13 points, the max possible.

Tile Rack #835: Playing ZIBET earns 16 points, the max possible.

Tile Rack #836: Playing CRUORS earns 8 points, the max possible.

Tile Rack #837: Playing WIG earns 7 points, the max possible.

Tile Rack #838: Playing LEX earns 10 points, the max possible.

Tile Rack #839: Playing GAWSY earns 12 points, the max possible.

Tile Rack #840: Playing PLUMP earns 11 points, the max possible.

Tile Rack #841: Playing MYC earns 10 points, the max possible.

Tile Rack #842: Playing SKY earns 10 points, the max possible.

Tile Rack #843: Playing HUH earns 9 points, the max possible.

Tile Rack #844: Playing BOFF earns 12 points, the max possible.

Tile Rack #845: Playing HYPS earns 12 points, the max possible.

Tile Rack #846: Playing WELSH earns 11 points, the max possible.

Tile Rack #847: Playing HUNK earns 11 points, the max possible.

Tile Rack #848: Playing FUNDIC earns 12 points, the max possible.

Tile Rack #849: Playing GYM earns 9 points, the max possible.

Tile Rack #850: Playing KUDU earns 9 points, the max possible.

Tile Rack #851: Playing POISED earns 9 points, the max possible.

Tile Rack #852: Playing WIZ earns 15 points, the max possible.

Tile Rack #853: Playing CWM earns 10 points, the max possible.

Tile Rack #854: Playing ZEP earns 14 points, the max possible.

Tile Rack #855: Playing JAMS earns 13 points, the max possible.

Tile Rack #856: Playing PLIGHT earns 12 points, the max possible.

Tile Rack #857: Playing OILWAY earns 12 points, the max possible.

Tile Rack #858: Playing TUNG earns 5 points, the max possible.

Tile Rack #859: Playing DOUX earns 12 points, the max possible.

Tile Rack #860: Playing KIVA earns 11 points, the max possible.

Tile Rack #861: Playing HM earns 7 points, the max possible.

Tile Rack #862: Playing QI earns 11 points, the max possible.

Tile Rack #863: Playing NIX earns 10 points, the max possible.

Tile Rack #864: Playing PUTZ earns 15 points, the max possible.

Tile Rack #865: Playing CLOG earns 7 points, the max possible.

Tile Rack #866: Playing GRUNGY earns 11 points, the max possible.

Tile Rack #867: Playing ZED earns 13 points, the max possible.

Tile Rack #868: Playing QI earns 11 points, the max possible.

Tile Rack #869: Playing OX earns 9 points, the max possible.

Tile Rack #870: Playing DOZEN earns 15 points, the max possible.

Tile Rack #871: Playing ABMHO earns 12 points, the max possible.

Tile Rack #872: Playing FADDY earns 13 points, the max possible.

Tile Rack #873: Playing KOS earns 7 points, the max possible.

Tile Rack #874: Playing BERMS earns 9 points, the max possible.

Tile Rack #875: Playing CHART earns 10 points, the max possible.

Tile Rack #876: Playing YUTZ earns 16 points, the max possible.

Tile Rack #877: Playing EX earns 9 points, the max possible.

Tile Rack #878: Playing JISM earns 13 points, the max possible.

Tile Rack #879: Playing MEEK earns 10 points, the max possible.

Tile Rack #880: Playing WHUP earns 12 points, the max possible.

Tile Rack #881: Playing IVY earns 9 points, the max possible.

Tile Rack #882: Playing CORM earns 8 points, the max possible.

Tile Rack #883: Playing CABOMBA earns 15 points, the max possible.

Tile Rack #884: Playing LAXLY earns 15 points, the max possible.

Tile Rack #885: Playing WEBCAM earns 15 points, the max possible.

Tile Rack #886: Playing PIX earns 12 points, the max possible.

Tile Rack #887: Playing ZONK earns 17 points, the max possible.

Tile Rack #888: Playing SYCE earns 9 points, the max possible.

Tile Rack #889: Playing HM earns 7 points, the max possible.

Tile Rack #890: Playing QI earns 11 points, the max possible.

Tile Rack #891: Playing ZEK earns 16 points, the max possible.

Tile Rack #892: Playing HUP earns 8 points, the max possible.

Tile Rack #893: Playing JAVA earns 14 points, the max possible.

Tile Rack #894: Playing JOGS earns 12 points, the max possible.

Tile Rack #895: Playing CUP earns 7 points, the max possible.

Tile Rack #896: Playing BILK earns 10 points, the max possible.

Tile Rack #897: Playing FOZY earns 19 points, the max possible.

Tile Rack #898: Playing INPUT earns 7 points, the max possible.

Tile Rack #899: Playing ZAX earns 19 points, the max possible.

Tile Rack #900: Playing EX earns 9 points, the max possible.

Tile Rack #901: Playing WIZ earns 15 points, the max possible.

Tile Rack #902: Playing JOW earns 13 points, the max possible.

Tile Rack #903: Playing PIPED earns 10 points, the max possible.

Tile Rack #904: Playing FUTZ earns 16 points, the max possible.

Tile Rack #905: Playing BIZE earns 15 points, the max possible.

Tile Rack #906: Playing PYX earns 15 points, the max possible.

Tile Rack #907: Playing AUXINS earns 13 points, the max possible.

Tile Rack #908: Playing MAYAN earns 10 points, the max possible.

Tile Rack #909: Playing WYCH earns 15 points, the max possible.

Tile Rack #910: Playing COIF earns 9 points, the max possible.

Tile Rack #911: Playing VOX earns 13 points, the max possible.

Tile Rack #912: Playing RAGLAN earns 7 points, the max possible.

Tile Rack #913: Playing ZEP earns 14 points, the max possible.

Tile Rack #914: Playing EOLITH earns 9 points, the max possible.

Tile Rack #915: Playing ZEP earns 14 points, the max possible.

Tile Rack #916: Playing DORM earns 7 points, the max possible.

Tile Rack #917: Playing VUGG earns 9 points, the max possible.

Tile Rack #918: Playing KOPHS earns 14 points, the max possible.

Tile Rack #919: Playing BISK earns 10 points, the max possible.

Tile Rack #920: Playing FAINER earns 9 points, the max possible.

Tile Rack #921: Playing SELF earns 7 points, the max possible.

Tile Rack #922: Playing PAVID earns 11 points, the max possible.

Tile Rack #923: Playing JUMP earns 15 points, the max possible.

Tile Rack #924: Playing ZAP earns 14 points, the max possible.

Tile Rack #925: Playing GUV earns 7 points, the max possible.

Tile Rack #926: Playing LOX earns 10 points, the max possible.

Tile Rack #927: Playing BITMAP earns 12 points, the max possible.

Tile Rack #928: Playing HM earns 7 points, the max possible.

Tile Rack #929: Playing JOKEY earns 19 points, the max possible.

Tile Rack #930: Playing FABLES earns 11 points, the max possible.

Tile Rack #931: Playing EFS earns 6 points, the max possible.

Tile Rack #932: Playing GROOVE earns 10 points, the max possible.

Tile Rack #933: Playing WHY earns 12 points, the max possible.

Tile Rack #934: Playing JOE earns 10 points, the max possible.

Tile Rack #935: Playing FIZ earns 15 points, the max possible.

Tile Rack #936: Playing HEX earns 13 points, the max possible.

Tile Rack #937: Playing FIVE earns 10 points, the max possible.

